#
#  Times of cadences affected by momentum dumps
#  Created Tue May 30 14:17:38 EDT 2023 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2018-08-21 16:29:41.537580 UTC, 1352.18808704, 1218904200.0, 89808, 5987
2018-08-21 16:31:41.537532 UTC, 1352.18947593, 1218904320.0, 89809, 5987
2018-08-21 16:33:41.537484 UTC, 1352.19086482, 1218904440.0, 89810, 5987
2018-08-23 14:09:41.472129 UTC, 1354.09086406, 1219068600.0, 91178, 6078
2018-08-23 14:11:41.472081 UTC, 1354.09225295, 1219068720.0, 91179, 6078
2018-08-23 14:13:41.472034 UTC, 1354.09364184, 1219068840.0, 91180, 6078
2018-08-23 14:15:41.471987 UTC, 1354.09503073, 1219068960.0, 91181, 6078
2018-08-23 14:17:41.471940 UTC, 1354.09641961, 1219069080.0, 91182, 6078
2018-08-23 14:19:41.471892 UTC, 1354.09780850, 1219069200.0, 91183, 6078
2018-08-23 14:21:41.471845 UTC, 1354.09919739, 1219069320.0, 91184, 6078
2018-08-23 14:23:41.471798 UTC, 1354.10058628, 1219069440.0, 91185, 6078
2018-08-23 14:25:41.471750 UTC, 1354.10197517, 1219069560.0, 91186, 6078
2018-08-23 14:27:41.471703 UTC, 1354.10336406, 1219069680.0, 91187, 6078
2018-08-23 14:29:41.471656 UTC, 1354.10475294, 1219069800.0, 91188, 6079
2018-08-23 14:31:41.471609 UTC, 1354.10614183, 1219069920.0, 91189, 6079
2018-08-23 14:33:41.471561 UTC, 1354.10753072, 1219070040.0, 91190, 6079
2018-08-26 03:03:41.385748 UTC, 1356.62836306, 1219287840.0, 93005, 6200
2018-08-26 03:05:41.385701 UTC, 1356.62975195, 1219287960.0, 93006, 6200
2018-08-26 03:07:41.385654 UTC, 1356.63114084, 1219288080.0, 93007, 6200
2018-08-26 03:09:41.385606 UTC, 1356.63252973, 1219288200.0, 93008, 6200
2018-08-26 03:11:41.385559 UTC, 1356.63391861, 1219288320.0, 93009, 6200
2018-08-26 03:13:41.385512 UTC, 1356.63530750, 1219288440.0, 93010, 6200
2018-08-26 03:15:41.385465 UTC, 1356.63669639, 1219288560.0, 93011, 6200
2018-08-26 03:17:41.385417 UTC, 1356.63808528, 1219288680.0, 93012, 6200
2018-08-28 15:03:41.300644 UTC, 1359.12836208, 1219503840.0, 94805, 6320
2018-08-28 15:05:41.300597 UTC, 1359.12975096, 1219503960.0, 94806, 6320
2018-08-28 15:07:41.300550 UTC, 1359.13113985, 1219504080.0, 94807, 6320
2018-08-28 15:09:41.300503 UTC, 1359.13252874, 1219504200.0, 94808, 6320
2018-08-28 15:11:41.300455 UTC, 1359.13391763, 1219504320.0, 94809, 6320
2018-08-28 15:13:41.300408 UTC, 1359.13530652, 1219504440.0, 94810, 6320
2018-08-28 15:15:41.300361 UTC, 1359.13669541, 1219504560.0, 94811, 6320
2018-08-28 15:17:41.300313 UTC, 1359.13808429, 1219504680.0, 94812, 6320
2018-08-31 03:03:41.215540 UTC, 1361.62836109, 1219719840.0, 96605, 6440
2018-08-31 03:05:41.215493 UTC, 1361.62974998, 1219719960.0, 96606, 6440
2018-08-31 03:07:41.215446 UTC, 1361.63113887, 1219720080.0, 96607, 6440
2018-08-31 03:09:41.215399 UTC, 1361.63252776, 1219720200.0, 96608, 6440
2018-08-31 03:11:41.215351 UTC, 1361.63391664, 1219720320.0, 96609, 6440
2018-08-31 03:13:41.215304 UTC, 1361.63530553, 1219720440.0, 96610, 6440
2018-08-31 03:15:41.215257 UTC, 1361.63669442, 1219720560.0, 96611, 6440
2018-08-31 03:17:41.215209 UTC, 1361.63808331, 1219720680.0, 96612, 6440
2018-09-02 15:03:41.130436 UTC, 1364.12836010, 1219935840.0, 98405, 6560
2018-09-02 15:05:41.130389 UTC, 1364.12974899, 1219935960.0, 98406, 6560
2018-09-02 15:07:41.130342 UTC, 1364.13113788, 1219936080.0, 98407, 6560
2018-09-02 15:09:41.130295 UTC, 1364.13252677, 1219936200.0, 98408, 6560
2018-09-02 15:11:41.130247 UTC, 1364.13391566, 1219936320.0, 98409, 6560
2018-09-02 15:13:41.130200 UTC, 1364.13530455, 1219936440.0, 98410, 6560
2018-09-02 15:15:41.130153 UTC, 1364.13669343, 1219936560.0, 98411, 6560
2018-09-02 15:17:41.130105 UTC, 1364.13808232, 1219936680.0, 98412, 6560
2018-09-05 03:03:41.045333 UTC, 1366.62835912, 1220151840.0, 100205, 6680
2018-09-05 03:05:41.045285 UTC, 1366.62974801, 1220151960.0, 100206, 6680
2018-09-05 03:07:41.045238 UTC, 1366.63113690, 1220152080.0, 100207, 6680
2018-09-05 03:09:41.045191 UTC, 1366.63252578, 1220152200.0, 100208, 6680
2018-09-05 03:11:41.045143 UTC, 1366.63391467, 1220152320.0, 100209, 6680
2018-09-05 03:13:41.045096 UTC, 1366.63530356, 1220152440.0, 100210, 6680
2018-09-05 03:15:41.045049 UTC, 1366.63669245, 1220152560.0, 100211, 6680
2018-09-05 03:17:41.045002 UTC, 1366.63808134, 1220152680.0, 100212, 6680
2018-09-07 01:59:40.978621 UTC, 1368.58391390, 1220320800.0, 101613, 6774
2018-09-07 02:01:40.978574 UTC, 1368.58530279, 1220320920.0, 101614, 6774
2018-09-07 02:03:40.978526 UTC, 1368.58669168, 1220321040.0, 101615, 6774
2018-09-07 02:05:40.978479 UTC, 1368.58808057, 1220321160.0, 101616, 6774
2018-09-07 02:07:40.978431 UTC, 1368.58946946, 1220321280.0, 101617, 6774
2018-09-07 02:09:40.978384 UTC, 1368.59085834, 1220321400.0, 101618, 6774
