,ID,ra,dec,gallong,gallat,Tmag,mass,rad,logg,Teff,plx,n_sec
645,1715269620,285.915175176895,35.7425982614274,66.5867597174019,13.1707631392579,8.68871021270752,1.9559999704361,1.57151997089386,4.33679008483887,8066.0,5.04714012145996,5
741,394595940,341.141285947632,-63.9539105432515,323.077202821723,-47.910315149948,6.86609983444214,2.19000005722046,1.80982005596161,4.26323986053467,8730.0,9.30580997467041,3
744,603292113,11.3008561957855,53.5489878027854,121.993602168393,-9.31140080819239,9.41415977478027,2.09500002861023,1.88936996459961,4.20662021636963,8445.0,2.94562005996704,2
747,603128188,8.24871461222281,51.8533129601646,120.033389168929,-10.9146080764438,9.85739994049072,1.86000001430511,1.88419997692108,4.15733003616333,7835.0,2.64362001419067,1
760,471011364,41.2399259439865,12.4457556572879,161.43019171536,-41.7859056558932,4.95930004119873,1.74000000953674,1.84481000900269,4.14670991897583,7540.0,25.8006992340088,3
770,89527758,357.430061178948,-23.0991587760181,45.6310722048501,-75.4717368405413,9.84459972381592,1.94000005722046,2.04575991630554,4.10415983200073,8036.0,2.30255007743835,2
816,408627457,35.6383083124755,16.8702756709894,152.218566523223,-40.7629843477279,6.65142011642456,2.00600004196167,2.46314001083374,3.95742011070251,8195.0,8.0765495300293,2
820,390527349,43.4953875194099,61.8851428852016,136.838557879274,2.36812504916325,7.93024015426636,2.08699989318848,1.89301002025604,4.20328998565674,8422.0,5.7410101890564,2
821,392126246,54.9383283965937,56.3830384618439,144.712835547651,0.802582635196049,6.46771001815796,2.26099991798401,2.46489000320435,4.00876998901367,8962.0,8.03178024291992,2
828,408878324,79.4459405375515,41.8002109480602,166.139841141076,2.30922422044405,8.49740982055664,1.9559999704361,1.82430994510651,4.20724010467529,8065.0,4.86246013641357,1
829,393700094,200.540436898304,5.1547581773033,322.714249149702,66.8391179578919,5.81720018386841,2.15000009536743,1.75018000602722,4.28433990478516,8603.0,15.674599647522,2
831,423259317,277.366131533336,29.9242198791073,58.1419165913047,17.5362976625969,8.71492004394531,1.96200001239777,1.93385004997253,4.15791988372803,8080.0,4.17617988586426,4
913,844522711,159.714510939712,-64.4974718826578,289.258800352526,-5.20494591058161,8.60949993133545,1.98000001907349,1.36651003360748,4.46351003646851,8140.0,6.25820016860962,2
953,212690444,306.974075155444,-5.52617907287792,39.1962771746115,-23.9436334987746,8.78699970245361,1.96000003814697,2.10220003128052,4.08498001098633,8086.0,3.69296002388,1
954,204314449,345.657479728428,-18.5417075145607,46.1113914899721,-63.5686778228072,6.80485010147095,2.06299996376038,1.82536995410919,4.2298698425293,8352.0,9.89692974090576,3
955,234838664,97.9160316305377,5.77005704270024,205.541493641818,-1.74555060900394,8.87001037597656,2.11199998855591,1.65182995796204,4.32682991027832,8493.0,4.25582981109619,2
956,240925484,18.0810528908302,51.5247911812769,126.241139024633,-11.2127051300208,9.01860046386719,2.19300007820129,1.97715997695923,4.18701982498169,8741.0,3.32473993301392,2
971,229582778,270.712138234125,75.7901942099712,106.973621577314,29.2094567682675,6.98499011993408,2.28999996185303,2.38497996330261,4.04293012619019,9058.0,6.41276979446411,21
975,239561991,316.694882869332,34.1322402923757,78.8332344219244,-8.87834406945034,7.70621013641357,1.89999997615814,1.58960998058319,4.31423997879028,7924.0,7.98446989059448,1
1006,306528129,265.42665156351,-60.3482079650381,332.234133158657,-15.3291052568745,9.66030025482178,1.94000005722046,2.17561006546021,4.05071020126343,8013.0,2.40573000907898,3
1013,347433253,28.0106166195383,10.8105684998098,146.122903689788,-49.3128448762818,7.87895011901855,1.7849999666214,1.60365998744965,4.27947998046875,7641.0,7.89356994628906,2
1019,387278384,109.955464867646,13.3729570740231,204.040027152875,12.2644922171889,9.09278011322021,1.96700000762939,1.31426000595093,4.49451017379761,8094.0,5.01237010955811,5
1020,355123417,129.064857571129,42.5798633455672,178.440129402103,36.7206040256448,6.80280017852783,1.87999999523163,1.51469004154205,4.35158014297485,7879.0,12.6963996887207,1
1029,351449508,289.243866393489,13.1192243152524,47.4920206825931,0.407737723640806,8.51377010345459,1.94099998474121,1.76664996147156,4.23179006576538,8027.0,5.07053995132446,1
1055,740324148,111.036813818329,21.4574400912652,196.871808573387,16.5360787675632,8.42228984832764,2.1710000038147,1.41279995441437,4.47455978393555,8674.0,5.8438401222229,3
1062,650334488,58.3179161584256,-70.1735088730563,284.580141694226,-39.8430978446609,9.95839977264404,1.73000001907349,1.91026997566223,4.11392021179199,7506.0,2.68325996398926,12
1063,685976494,66.6570014595338,-40.5301675539357,244.283003528568,-44.0956141811584,7.9798002243042,1.87999999523163,1.50722002983093,4.35586977005005,7865.0,7.56512022018433,1
1065,677308132,69.1166930261812,-71.6931154041295,284.089443243729,-36.0284166922145,9.72990036010742,1.97000002861023,2.30386996269226,4.00761985778809,8093.0,2.27655005455017,12
1068,710764575,90.6293336075266,-2.36053930760751,209.424150864173,-11.9556826369453,9.91176986694336,2.05200004577637,1.6217600107193,4.3302698135376,8322.0,2.85542011260986,1
1118,319017855,112.638960420827,5.25415100894388,212.676598227512,11.0865346127007,8.5631799697876,1.86199998855591,1.98292005062103,4.11344003677368,7831.0,4.35401010513306,1
