#
#  Times of cadences affected by momentum dumps
#  Created Thu Dec 28 00:03:26 EST 2023 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2021-04-02 17:31:06.005221 UTC, 2307.23073138, 1301419920.0, 777439, 155487
2021-04-02 17:33:06.005168 UTC, 2307.23212026, 1301420040.0, 777440, 155487
2021-04-02 17:35:06.005114 UTC, 2307.23350915, 1301420160.0, 777441, 155487
2021-04-02 17:37:06.005061 UTC, 2307.23489804, 1301420280.0, 777442, 155487
2021-04-02 17:39:06.005008 UTC, 2307.23628693, 1301420400.0, 777443, 155488
2021-04-02 17:41:06.004954 UTC, 2307.23767582, 1301420520.0, 777444, 155488
2021-04-02 17:43:06.004901 UTC, 2307.23906471, 1301420640.0, 777445, 155488
2021-04-02 17:45:06.004848 UTC, 2307.24045359, 1301420760.0, 777446, 155488
2021-04-02 17:47:06.004794 UTC, 2307.24184248, 1301420880.0, 777447, 155488
2021-04-02 17:49:06.004741 UTC, 2307.24323137, 1301421000.0, 777448, 155489
2021-04-02 17:51:06.004688 UTC, 2307.24462026, 1301421120.0, 777449, 155489
2021-04-02 17:53:06.004635 UTC, 2307.24600915, 1301421240.0, 777450, 155489
2021-04-02 17:55:06.004581 UTC, 2307.24739804, 1301421360.0, 777451, 155489
2021-04-02 17:57:06.004528 UTC, 2307.24878692, 1301421480.0, 777452, 155489
2021-04-02 17:59:06.004475 UTC, 2307.25017581, 1301421600.0, 777453, 155490
2021-04-08 12:31:05.782933 UTC, 2313.02239547, 1301920320.0, 781609, 156321
2021-04-08 12:33:05.782880 UTC, 2313.02378436, 1301920440.0, 781610, 156321
2021-04-08 12:35:05.782826 UTC, 2313.02517325, 1301920560.0, 781611, 156321
2021-04-08 12:37:05.782773 UTC, 2313.02656213, 1301920680.0, 781612, 156321
2021-04-08 12:39:05.782720 UTC, 2313.02795102, 1301920800.0, 781613, 156322
2021-04-08 12:41:05.782666 UTC, 2313.02933991, 1301920920.0, 781614, 156322
2021-04-08 12:43:05.782613 UTC, 2313.03072880, 1301921040.0, 781615, 156322
2021-04-21 19:01:05.268744 UTC, 2326.29322285, 1303066920.0, 791164, 158232
2021-04-21 19:03:05.268690 UTC, 2326.29461174, 1303067040.0, 791165, 158232
2021-04-21 19:05:05.268636 UTC, 2326.29600063, 1303067160.0, 791166, 158232
2021-04-21 19:07:05.268581 UTC, 2326.29738952, 1303067280.0, 791167, 158232
2021-04-21 19:09:05.268527 UTC, 2326.29877840, 1303067400.0, 791168, 158233
2021-04-21 19:11:05.268473 UTC, 2326.30016729, 1303067520.0, 791169, 158233
2021-04-21 19:13:05.268419 UTC, 2326.30155618, 1303067640.0, 791170, 158233
2021-04-29 08:03:04.975282 UTC, 2333.83627501, 1303718640.0, 796595, 159318
2021-04-29 08:05:04.975229 UTC, 2333.83766390, 1303718760.0, 796596, 159318
2021-04-29 08:07:04.975176 UTC, 2333.83905279, 1303718880.0, 796597, 159318
2021-04-29 08:09:04.975123 UTC, 2333.84044167, 1303719000.0, 796598, 159319
2021-04-29 08:11:04.975070 UTC, 2333.84183056, 1303719120.0, 796599, 159319
2021-04-29 08:13:04.975017 UTC, 2333.84321945, 1303719240.0, 796600, 159319
2021-04-29 08:15:04.974964 UTC, 2333.84460834, 1303719360.0, 796601, 159319
2021-04-29 08:17:04.974911 UTC, 2333.84599723, 1303719480.0, 796602, 159319
2021-04-29 08:19:04.974858 UTC, 2333.84738612, 1303719600.0, 796603, 159320
2021-04-29 08:21:04.974806 UTC, 2333.84877500, 1303719720.0, 796604, 159320
2021-04-29 08:23:04.974753 UTC, 2333.85016389, 1303719840.0, 796605, 159320
2021-04-29 08:25:04.974700 UTC, 2333.85155278, 1303719960.0, 796606, 159320
2021-04-29 08:27:04.974647 UTC, 2333.85294167, 1303720080.0, 796607, 159320
2021-05-05 12:31:04.739563 UTC, 2340.02238339, 1304253120.0, 801049, 160209
2021-05-05 12:33:04.739510 UTC, 2340.02377228, 1304253240.0, 801050, 160209
2021-05-05 12:35:04.739457 UTC, 2340.02516117, 1304253360.0, 801051, 160209
2021-05-05 12:37:04.739404 UTC, 2340.02655006, 1304253480.0, 801052, 160209
2021-05-05 12:39:04.739351 UTC, 2340.02793894, 1304253600.0, 801053, 160210
2021-05-05 12:41:04.739298 UTC, 2340.02932783, 1304253720.0, 801054, 160210
2021-05-05 12:43:04.739245 UTC, 2340.03071672, 1304253840.0, 801055, 160210
2021-05-12 00:59:04.491020 UTC, 2346.54182496, 1304816400.0, 805743, 161148
2021-05-12 01:01:04.490966 UTC, 2346.54321385, 1304816520.0, 805744, 161148
2021-05-12 01:03:04.490912 UTC, 2346.54460273, 1304816640.0, 805745, 161148
2021-05-12 01:05:04.490858 UTC, 2346.54599162, 1304816760.0, 805746, 161148
2021-05-12 01:07:04.490804 UTC, 2346.54738051, 1304816880.0, 805747, 161148
2021-05-12 01:09:04.490749 UTC, 2346.54876940, 1304817000.0, 805748, 161149
2021-05-12 01:11:04.490695 UTC, 2346.55015829, 1304817120.0, 805749, 161149
2021-05-12 01:13:04.490641 UTC, 2346.55154718, 1304817240.0, 805750, 161149
2021-05-12 01:15:04.490587 UTC, 2346.55293606, 1304817360.0, 805751, 161149
2021-05-12 01:17:04.490533 UTC, 2346.55432495, 1304817480.0, 805752, 161149
2021-05-12 01:19:04.490479 UTC, 2346.55571384, 1304817600.0, 805753, 161150
2021-05-12 01:21:04.490425 UTC, 2346.55710273, 1304817720.0, 805754, 161150
2021-05-12 18:43:04.462251 UTC, 2347.28071351, 1304880240.0, 806275, 161254
2021-05-12 18:45:04.462196 UTC, 2347.28210240, 1304880360.0, 806276, 161254
2021-05-12 18:47:04.462142 UTC, 2347.28349129, 1304880480.0, 806277, 161254
